Title;Year;Rank;Rating;tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;runtimeMinutes;genres
Three Billboards Outside Ebbing, Missouri;2017;166;8.1;tt5027774;movie;Three Billboards Outside Ebbing, Missouri;Three Billboards Outside Ebbing, Missouri;0.0;2017.0;115;Comedy,Crime,Drama
Trainspotting;1996;167;8.1;tt0117951;movie;Trainspotting;Trainspotting;0.0;1996.0;93;Drama
Warrior;2011;168;8.1;tt1291584;movie;Warrior;Warrior;0.0;2011.0;140;Action,Drama,Sport
Gran Torino;2008;169;8.1;tt1205489;movie;Gran Torino;Gran Torino;0.0;2008.0;116;Drama
Fargo;1996;170;8.1;tt0116282;movie;Fargo;Fargo;0.0;1996.0;98;Crime,Thriller
Prisoners;2013;171;8.1;tt1392214;movie;Prisoners;Prisoners;0.0;2013.0;153;Crime,Drama,Mystery
My Neighbor Totoro;1988;172;8.1;tt0096283;movie;My Neighbor Totoro;Tonari no Totoro;0.0;1988.0;86;Animation,Comedy,Family
Million Dollar Baby;2004;173;8.1;tt0405159;movie;Million Dollar Baby;Million Dollar Baby;0.0;2004.0;132;Drama,Sport
Catch Me If You Can;2002;174;8.1;tt0264464;movie;Catch Me If You Can;Catch Me If You Can;0.0;2002.0;141;Biography,Crime,Drama
The Gold Rush;1925;175;8.1;tt0015864;movie;The Gold Rush;The Gold Rush;0.0;1925.0;95;Adventure,Comedy,Drama
Blade Runner;1982;176;8.1;tt0083658;movie;Blade Runner;Blade Runner;0.0;1982.0;117;Action,Drama,Sci-Fi
On the Waterfront;1954;177;8.1;tt0047296;movie;On the Waterfront;On the Waterfront;0.0;1954.0;108;Crime,Drama,Thriller
Children of Heaven;1997;178;8.1;tt0118849;movie;Children of Heaven;Bacheha-Ye aseman;0.0;1997.0;89;Drama,Family,Sport
The Third Man;1949;179;8.1;tt0041959;movie;The Third Man;The Third Man;0.0;1949.0;104;Film-Noir,Mystery,Thriller
Ben-Hur;1959;180;8.1;tt0052618;movie;Ben-Hur;Ben-Hur;0.0;1959.0;212;Adventure,Drama
Before Sunrise;1995;181;8.1;tt0112471;movie;Before Sunrise;Before Sunrise;0.0;1995.0;101;Drama,Romance
